"Metric","Value_Hours","Value_Minutes","Value_Percent","Value_Count"
"Mean Overtime",1.23659406125998,74.1956436755986,NA,NA
"Median Overtime",1.07980090776545,64.7880544659267,NA,NA
"SD Overtime",0.792377845451616,47.542670727097,NA,NA
"25th Percentile",0.59281798481219,35.5690790887314,NA,NA
"75th Percentile",1.72230790309224,103.338474185534,NA,NA
"95th Percentile",2.70683270337465,162.409962202479,NA,NA
"Min Overtime",0,0,NA,NA
"Max Overtime",3.2713833436114,196.283000616684,NA,NA
"Probability No Overtime",0.01,NA,1,NA
"Probability Overtime",0.99,NA,99,NA
"Mean Last Departure",11.2364897474236,674.189384845417,NA,NA
"Mean Customer Count",NA,NA,NA,212.14
